RMS,MAV,VAR,ZC,SSC,Label
0.0952307415679524,0.075882945438253,0.0090688941395821,50.0,62.0,0.0
0.0950286765771914,0.0757667963401529,0.0090304493720124,50.0,61.0,0.0
0.0953970268309763,0.0764265687191434,0.00910059272819,49.0,61.0,0.0
0.0951064294639018,0.0758756584205322,0.0090452329253721,49.0,62.0,0.0
0.0951468345031645,0.0758284825670287,0.0090529201159725,50.0,62.0,0.0
0.0952400610916284,0.0757373568235887,0.0090706692367371,50.0,62.0,0.0
0.0952346539188593,0.0758221800585155,0.0090696393070449,49.0,62.0,0.0
0.0951800407985724,0.0756317017425737,0.0090592401664179,50.0,61.0,0.0
0.0961258743170617,0.0767332673630217,0.0092401837132195,49.0,61.0,0.0
0.09732598107936,0.0778399414868277,0.0094723465930599,49.0,61.0,0.0
0.0969359903787586,0.0776895845407227,0.0093965862307107,49.0,62.0,0.0
0.0958413889805043,0.0766107982930109,0.0091855718417123,51.0,62.0,0.0
0.0950149184475705,0.0758252353047379,0.0090278347275984,50.0,61.0,0.0
0.095079673183957,0.0761042898593609,0.009040144252768,49.0,61.0,0.0
0.0948505911043967,0.0756469370783529,0.0089966346328534,50.0,60.0,0.0
0.0951569036411686,0.0757710875091129,0.0090548363105746,52.0,62.0,0.0
0.09538448587212,0.0760608602029441,0.0090982001450886,49.0,62.0,0.0
0.0954266689169691,0.0762819749977808,0.0091062491405888,49.0,62.0,0.0
0.0950011968836065,0.075490600083123,0.0090252274093177,50.0,59.0,0.0
0.095001937685184,0.0755336076714011,0.0090253681639395,51.0,61.0,0.0
0.0957640172585618,0.0763780541428907,0.0091707470014981,51.0,61.0,0.0
0.0955289277975963,0.076348341384763,0.0091257760461583,49.0,60.0,0.0
0.0951817910566942,0.0758336783045898,0.0090595733487602,50.0,62.0,0.0
0.0947045792046723,0.075309315154124,0.008968957322334,51.0,62.0,0.0
0.0944017914262963,0.0749503506352962,0.0089116982244939,50.0,60.0,0.0
0.09440832623425,0.074783021585109,0.0089129320623525,50.0,59.0,0.0
0.0950784135803974,0.0755606945141004,0.0090399047289651,49.0,59.0,0.0
0.0955671877788764,0.0762511401467887,0.009133087379963,49.0,59.0,0.0
0.0954149084916474,0.0761543716333407,0.0091040047624694,49.0,60.0,0.0
0.0951127188482975,0.0758587161266542,0.0090464292867153,50.0,60.0,0.0
0.094865005043227,0.0757108365641476,0.0089993691818514,49.0,59.0,0.0
0.0951538683138375,0.0762812526065637,0.0090542586550871,49.0,59.0,0.0
0.0948128701442752,0.0756278615231538,0.0089894803449951,49.0,60.0,0.0
0.0948736643413287,0.0756417583268982,0.0090010121855511,50.0,60.0,0.0
0.0949640841765179,0.0755223811171736,0.0090181772834847,50.0,60.0,0.0
0.0949429589097163,0.0755707394953704,0.009014165446532,49.0,60.0,0.0
0.0949103218492868,0.075450954811573,0.0090079691935352,50.0,59.0,0.0
0.0958048194812576,0.076464671449828,0.0091785634358363,49.0,59.0,0.0
0.0969494905353697,0.0775244937430128,0.0093992037150677,49.0,59.0,0.0
0.0965112263926568,0.0773942686513538,0.0093144168198146,49.0,60.0,0.0
0.095442398208073,0.0763220958515282,0.0091092513757083,49.0,60.0,0.0
0.0945999920257003,0.0756102349518846,0.0089491584912625,50.0,59.0,0.0
0.0946229001578915,0.0758385300563455,0.0089534932342903,49.0,59.0,0.0
0.094376669457075,0.0754213786758775,0.00890695573781,50.0,58.0,0.0
0.0947284914464553,0.075477942892345,0.0089734870917211,50.0,60.0,0.0
0.0949933790483245,0.0757920939279527,0.0090237420630186,51.0,60.0,0.0
0.0950455688767184,0.0760402598398261,0.009033660163099,51.0,60.0,0.0
0.0946209443862681,0.0753324881075923,0.0089531231165492,50.0,57.0,0.0
0.094589388398136,0.0751939687770354,0.0089471523975334,49.0,59.0,0.0
0.0953491408952998,0.0760423640598265,0.0090914586694717,51.0,59.0,0.0
0.0951449919009322,0.0761073603054318,0.0090525694838284,49.0,58.0,0.0
0.0948214863873475,0.0756676138678959,0.0089911142807059,50.0,60.0,0.0
0.0943632594637278,0.0751636935712504,0.0089044247366188,51.0,60.0,0.0
0.0940548463463403,0.074824682359678,0.0088463141212336,50.0,58.0,0.0
0.0940828232992004,0.074658914772698,0.0088515776399485,50.0,57.0,0.0
0.0947791970932927,0.0754535996503553,0.0089830962016492,49.0,57.0,0.0
0.0952990144964248,0.0761744738564066,0.0090819021639897,49.0,57.0,0.0
0.0951620814424427,0.0761115868903476,0.0090558217444581,49.0,58.0,0.0
0.0948699320318413,0.0757542448888959,0.0090003040037261,50.0,57.0,0.0
0.0946398767097862,0.075749124585524,0.0089567062636435,49.0,57.0,0.0
0.0949137697152192,0.0762481131659437,0.0090086236815536,49.0,57.0,0.0
0.0944311790865524,0.0754047178314652,0.0089172475836765,49.0,58.0,0.0
0.0944712864795739,0.0753119537174528,0.0089248239691057,50.0,58.0,0.0
0.094542881554223,0.0751616180032592,0.0089383564525758,50.0,58.0,0.0
0.0944840665999491,0.0752319347209015,0.0089272388412636,49.0,58.0,0.0
0.0944347451261408,0.0750725180468078,0.0089179210870391,50.0,57.0,0.0
0.0953562950281361,0.0760621228955477,0.0090928230014929,49.0,57.0,0.0
